fWord,fLetter,rep,score
0.0002984,1.54694,1,1019.5
0.002742,1.52903,1,1029.5
0.00022,1.5315,1,1030
0.000028,0.08373,1,1029.5
0.000171,0.06681,1.5,1020
0.00406,0.0503,1,899.5
0.003507,1.5502,1,1040
0.00011046,0.1368,1,1050.5
0.00011046,3.0191,1.5,1030.5
0.000176,0.0704,1.5,1019.5
0.0002821,1.53471,1,1029
0.011466,0.0664,1.5,1060.5
0.000274,1.5973,1,1029.5
0.0001331,1.5587,1,1020
0.000319,0.0516,1,1050
0.000783,0.0733,1,1020
0.000965,1.5389,1,1040
0.0046,1.5773,1.5,1040
0.008003,0.1235,1,1039.5
0.00498,1.5613,1.5,1050.5